id,name,images,emote_type,emote_set_id,owner_id
305276414,oceans12Kiss,https://static-cdn.jtvnw.net/emoticons/v1/305276414/3.0,subscriptions,300010821,48212132
301311417,gayuntJo,https://static-cdn.jtvnw.net/emoticons/v1/301311417/3.0,subscriptions,300010822,181192959
300108990,thanopLol,https://static-cdn.jtvnw.net/emoticons/v1/300108990/3.0,subscriptions,300010831,189084016
300108996,thanopChicken,https://static-cdn.jtvnw.net/emoticons/v1/300108996/3.0,subscriptions,300010832,189084016
300048060,millio9JasperBread,https://static-cdn.jtvnw.net/emoticons/v1/300048060/3.0,subscriptions,300010834,71362846
304572968,valaxoSmile,https://static-cdn.jtvnw.net/emoticons/v1/304572968/3.0,subscriptions,300010837,46010598
304572963,valaxoPlead,https://static-cdn.jtvnw.net/emoticons/v1/304572963/3.0,subscriptions,300010837,46010598
304572948,valaxoLick,https://static-cdn.jtvnw.net/emoticons/v1/304572948/3.0,subscriptions,300010837,46010598
304572945,valaxoCrown,https://static-cdn.jtvnw.net/emoticons/v1/304572945/3.0,subscriptions,300010837,46010598
302548674,valaxoLove,https://static-cdn.jtvnw.net/emoticons/v1/302548674/3.0,subscriptions,300010837,46010598
304572973,valaxoNoBully,https://static-cdn.jtvnw.net/emoticons/v1/304572973/3.0,subscriptions,300010838,46010598
304572975,valaxoYesBully,https://static-cdn.jtvnw.net/emoticons/v1/304572975/3.0,subscriptions,300010839,46010598
302602970,suku51GG,https://static-cdn.jtvnw.net/emoticons/v1/302602970/3.0,subscriptions,300010843,409558359
302603006,suku51HI,https://static-cdn.jtvnw.net/emoticons/v1/302603006/3.0,subscriptions,300010844,409558359
302603041,suku51HYPE,https://static-cdn.jtvnw.net/emoticons/v1/302603041/3.0,subscriptions,300010845,409558359
301427213,desqinRicklove,https://static-cdn.jtvnw.net/emoticons/v1/301427213/3.0,subscriptions,300010855,113442225
301427209,desqinMortysad,https://static-cdn.jtvnw.net/emoticons/v1/301427209/3.0,subscriptions,300010855,113442225
301427208,desqinMortyblush,https://static-cdn.jtvnw.net/emoticons/v1/301427208/3.0,subscriptions,300010855,113442225
301427205,desqinAngrymorty,https://static-cdn.jtvnw.net/emoticons/v1/301427205/3.0,subscriptions,300010855,113442225
303365424,zeltik1,https://static-cdn.jtvnw.net/emoticons/v1/303365424/3.0,subscriptions,300010856,75021191
300056385,vitami19Ydawg,https://static-cdn.jtvnw.net/emoticons/v1/300056385/3.0,subscriptions,300010861,152496293
300072187,vitami19Markclap,https://static-cdn.jtvnw.net/emoticons/v1/300072187/3.0,subscriptions,300010862,152496293
300156947,vitami19BrandonSigh,https://static-cdn.jtvnw.net/emoticons/v1/300156947/3.0,subscriptions,300010863,152496293
303569934,popeye10Slayer,https://static-cdn.jtvnw.net/emoticons/v1/303569934/3.0,subscriptions,300010864,67628054
300256868,artayrMapicche,https://static-cdn.jtvnw.net/emoticons/v1/300256868/3.0,subscriptions,300010873,124680522
300200636,artayrWtf,https://static-cdn.jtvnw.net/emoticons/v1/300200636/3.0,subscriptions,300010873,124680522
300252681,artayrNrage,https://static-cdn.jtvnw.net/emoticons/v1/300252681/3.0,subscriptions,300010875,124680522
300148404,wiredmSkal,https://static-cdn.jtvnw.net/emoticons/v1/300148404/3.0,subscriptions,300010876,37632523
300050128,wiredmWiredbeserk,https://static-cdn.jtvnw.net/emoticons/v1/300050128/3.0,subscriptions,300010877,37632523
300050195,wiredmVikingbrotherhood,https://static-cdn.jtvnw.net/emoticons/v1/300050195/3.0,subscriptions,300010878,37632523
306282862,teemo1Roach,https://static-cdn.jtvnw.net/emoticons/v1/306282862/3.0,subscriptions,300010879,40705313
307284194,teemo1Woo,https://static-cdn.jtvnw.net/emoticons/v1/307284194/3.0,subscriptions,300010879,40705313
307705326,teemo1Sheeesh,https://static-cdn.jtvnw.net/emoticons/v1/307705326/3.0,subscriptions,300010879,40705313
emotesv2_edb047d8548549c296bcf1be8fe7e2e8,teemo1Dababy,https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_edb047d8548549c296bcf1be8fe7e2e8/3.0,subscriptions,300010879,40705313
305702042,adrisyLOL,https://static-cdn.jtvnw.net/emoticons/v1/305702042/3.0,subscriptions,300010885,134002828
305702055,adrisyF,https://static-cdn.jtvnw.net/emoticons/v1/305702055/3.0,subscriptions,300010885,134002828
emotesv2_cabab23c47a140449266388b8e36c3ce,adrisyJEJEJE,https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_cabab23c47a140449266388b8e36c3ce/3.0,subscriptions,300010885,134002828
302553294,adrisySalu2,https://static-cdn.jtvnw.net/emoticons/v1/302553294/3.0,subscriptions,300010886,134002828
302553295,adrisyOmg,https://static-cdn.jtvnw.net/emoticons/v1/302553295/3.0,subscriptions,300010887,134002828
300020697,pontus5Dingus,https://static-cdn.jtvnw.net/emoticons/v1/300020697/3.0,subscriptions,300010888,419826176
300047322,hoover4Love,https://static-cdn.jtvnw.net/emoticons/v1/300047322/3.0,subscriptions,300010894,190963696
300179755,sgtalpLove,https://static-cdn.jtvnw.net/emoticons/v1/300179755/3.0,subscriptions,300010900,40742297
307920397,sgtalpDabs,https://static-cdn.jtvnw.net/emoticons/v1/307920397/3.0,subscriptions,300010900,40742297
307920371,sgtalpWave,https://static-cdn.jtvnw.net/emoticons/v1/307920371/3.0,subscriptions,300010901,40742297
307935709,sgtalpFeels,https://static-cdn.jtvnw.net/emoticons/v1/307935709/3.0,subscriptions,300010902,40742297
300594022,drewiiHi,https://static-cdn.jtvnw.net/emoticons/v1/300594022/3.0,subscriptions,300010903,234710286
300597390,drewiiHI,https://static-cdn.jtvnw.net/emoticons/v1/300597390/3.0,subscriptions,300010904,234710286
305147674,moonec1LUL,https://static-cdn.jtvnw.net/emoticons/v1/305147674/3.0,subscriptions,300010909,82534319
301046462,moonec1UWU,https://static-cdn.jtvnw.net/emoticons/v1/301046462/3.0,subscriptions,300010909,82534319
300839171,moonec1W,https://static-cdn.jtvnw.net/emoticons/v1/300839171/3.0,subscriptions,300010909,82534319
300985087,elsimoLUL,https://static-cdn.jtvnw.net/emoticons/v1/300985087/3.0,subscriptions,300010912,411468779
300985085,elsimoDerp,https://static-cdn.jtvnw.net/emoticons/v1/300985085/3.0,subscriptions,300010912,411468779
300985084,elsimoRee,https://static-cdn.jtvnw.net/emoticons/v1/300985084/3.0,subscriptions,300010912,411468779
300375776,elsimoJosefliebe,https://static-cdn.jtvnw.net/emoticons/v1/300375776/3.0,subscriptions,300010912,411468779
300374211,elsimoAuuuh,https://static-cdn.jtvnw.net/emoticons/v1/300374211/3.0,subscriptions,300010912,411468779
301140334,elsimoEZ,https://static-cdn.jtvnw.net/emoticons/v1/301140334/3.0,subscriptions,300010913,411468779
301144495,elsimoMindBlown,https://static-cdn.jtvnw.net/emoticons/v1/301144495/3.0,subscriptions,300010914,411468779
307081778,shuffl13Gj,https://static-cdn.jtvnw.net/emoticons/v1/307081778/3.0,subscriptions,300010915,118173343
307081843,shuffl13Sad,https://static-cdn.jtvnw.net/emoticons/v1/307081843/3.0,subscriptions,300010916,118173343
300264254,thekin891,https://static-cdn.jtvnw.net/emoticons/v1/300264254/3.0,subscriptions,300010918,137709990
